title,author,is_loaned,copies,genre,year,popular,waiting_list
The Catcher in the Rye,J.D. Salinger,No,3,Fiction,1951,0,nan
To Kill a Mockingbird,Harper Lee,Yes,2,Fiction,1960,2,nan
1984,George Orwell,Yes,5,Dystopian,1949,5,nan
The Great Gatsby,F. Scott Fitzgerald,No,4,Classic,1925,0,nan
Moby Dick,Herman Melville,No,1,Adventure,1851,0,nan
Pride and Prejudice,Jane Austen,Yes,3,Romance,1813,3,nan
War and Peace,Leo Tolstoy,No,2,Historical Fiction,1869,0,nan
Great Expectations,Charles Dickens,No,3,Classic,1861,0,nan
Crime and Punishment,Fyodor Dostoevsky,Yes,1,Psychological Drama,1866,1,nan
The Brothers Karamazov,Fyodor Dostoevsky,No,3,Philosophy,1880,0,nan
The Divine Comedy,Dante Alighieri,Yes,1,Epic Poetry,1320,1,nan
Jane Eyre,Charlotte Brontë,No,2,Gothic Fiction,1847,0,nan
Wuthering Heights,Emily Brontë,No,4,Gothic Romance,1847,0,nan
Anna Karenina,Leo Tolstoy,Yes,2,Fiction,1877,2,nan
Madame Bovary,Gustave Flaubert,No,3,Realism,1857,0,nan
The Iliad,Homer,Yes,1,Epic Poetry,-750,1,nan
The Sound and the Fury,William Faulkner,No,2,Modernism,1929,0,nan
Invisible Man,Ralph Ellison,Yes,1,Fiction,1952,1,nan
Beloved,Toni Morrison,Yes,3,Historical Fiction,1987,3,nan
Catch-22,Joseph Heller,No,4,Satire,1961,0,nan
Slaughterhouse-Five,Kurt Vonnegut,Yes,2,Science Fiction,1969,2,nan
Brave New World,Aldous Huxley,No,5,Dystopian,1932,0,nan
Heart of Darkness,Joseph Conrad,Yes,3,Adventure,1899,3,nan
The Grapes of Wrath,John Steinbeck,No,2,Fiction,1939,0,nan
Of Mice and Men,John Steinbeck,Yes,1,Tragedy,1937,1,nan
The Old Man and the Sea,Ernest Hemingway,No,3,Fiction,1952,0,nan
The Hobbit,J.R.R. Tolkien,Yes,4,Fantasy,1937,4,nan
The Lord of the Rings,J.R.R. Tolkien,Yes,2,Fantasy,1954,2,nan
Harry Potter and the Philosopher's Stone,J.K. Rowling,No,7,Fantasy,1997,0,nan
A Game of Thrones,George R.R. Martin,Yes,5,Fantasy,1996,5,nan
The Name of the Wind,Patrick Rothfuss,No,3,Fantasy,2007,0,nan
Mistborn: The Final Empire,Brandon Sanderson,Yes,4,Fantasy,2006,4,nan
The Handmaid's Tale,Margaret Atwood,No,3,Dystopian,1985,0,nan
The Odyssey,Homer,Yes,2,Epic Poetry,-800,2,nan

